marital_status,n_of_clients,total_wine,total_fruit,total_meat,total_fish,total_sweet,total_gold,total_all_products,web_purchases,catalog_purchases,store_purchases,total_purchases
Married,857,256976,21981,137888,30395,22926,36719,506885,3501,2254,5013,10768
Together,573,176715,14612,95374,22383,15031,24754,348869,2351,1535,3298,7184
Single,471,137217,12840,87064,18262,12751,20397,288531,1814,1240,2674,5728
Divorced,232,75364,6363,34848,8130,6222,10739,141666,1000,620,1350,2970
Widow,76,27902,2422,14085,3793,2878,4245,55325,351,251,483,1085
Alone,3,554,12,79,23,21,81,770,15,2,12,29
