education,n_of_clients,total_wine,total_fruit,total_meat,total_fish,total_sweet,total_gold,total_all_products,web_purchases,catalog_purchases,store_purchases,total_purchases
Graduation,1116,318111,34441,201319,48453,34915,56563,693802,4593,3056,6519,14168
PhD,481,195874,9690,81644,12928,9787,15586,325509,2132,1437,2921,6490
Master,365,121538,7802,59466,11495,7595,14669,222565,1473,929,2149,4551
"2n Cycle",200,40169,5872,27016,9608,6945,9376,98986,753,471,1112,2336
Basic,54,391,600,618,921,654,1233,4417,102,26,154,282
